Employee#,JobSatisfaction_1to7,TurnoverIntention_1to5,Tenure_Years,Age,SupervisorSupport_1to7,Department,Job_Level,Salary,Midpoint_Salary,Compa_Ratio,Overtime_Hours,Performance_Score,Favorite_Color,Commute_Distance_Miles,Desk_Plant_Count
243,4,2.46,13.31,46,6,Supply Chain,Senior,129617.0,100000,1.3,92.0,3.42,Red,10.0,4
244,3,3.87,5.74,41,3,Supply Chain,Mid,95726.0,80000,1.2,151.0,2.3,Purple,32.7,5
245,5,2.11,6.23,35,6,Human Resources,Mid,88763.0,80000,1.11,45.0,3.77,Yellow,1.0,2
246,5,2.18,3.25,36,7,Administration,Mid,77838.0,80000,0.97,83.0,3.19,Green,26.9,3
247,6,2.48,6.48,38,4,Administration,Mid,97449.0,80000,1.22,10.0,4.0,Blue,38.0,0
248,3,3.6,7.15,51,2,Marketing and Sales,Mid,92195.0,80000,1.15,50.0,3.18,Blue,18.2,0
249,2,3.8,2.63,31,3,Accounting and Finance,Entry,83299.0,60000,1.39,40.0,2.7,Purple,19.6,5
250,3,3.92,2.01,32,1,Marketing and Sales,Entry,64606.0,60000,1.08,40.0,2.91,Purple,23.6,4
251,1,4.16,5.88,42,1,Marketing and Sales,Mid,92818.0,80000,1.16,15.0,3.28,Yellow,27.0,4
252,7,2.44,3.82,31,3,Human Resources,Mid,79351.0,80000,0.99,68.0,3.85,Purple,17.9,3
253,7,1.89,5.77,28,5,Accounting and Finance,Mid,102543.0,80000,1.28,78.0,4.05,Red,13.3,5
254,2,3.81,2.46,24,1,Marketing and Sales,Entry,76321.0,60000,1.27,71.0,2.56,Purple,3.3,4
255,3,4.02,2.12,24,1,Marketing and Sales,Entry,73542.0,60000,1.23,95.0,2.46,Blue,19.1,0
256,4,3.22,5.6,26,3,Marketing and Sales,Mid,99255.0,80000,1.24,43.0,3.18,Purple,32.7,3
257,2,3.87,4.12,33,3,Marketing and Sales,Mid,88371.0,80000,1.1,134.0,2.72,Purple,38.7,4
258,4,2.71,1.57,22,3,Accounting and Finance,Entry,76379.0,60000,1.27,59.0,3.95,Yellow,34.3,5
259,2,3.89,10.47,42,5,Marketing and Sales,Senior,115590.0,100000,1.16,149.0,3.3,Blue,25.5,1
260,6,2.28,2.44,27,6,Research and Development,Entry,77430.0,60000,1.29,37.0,4.42,Yellow,36.6,5
261,5,3.51,20.59,57,2,Marketing and Sales,Senior,138353.0,100000,1.38,84.0,3.9,Red,35.7,5
262,1,4.63,3.55,34,1,Accounting and Finance,Mid,105209.0,80000,1.32,15.0,2.28,Blue,28.1,0
263,4,2.21,6.24,30,6,Accounting and Finance,Mid,93767.0,80000,1.17,6.0,3.83,Green,24.3,1
264,1,4.91,12.37,49,1,Research and Development,Senior,120817.0,100000,1.21,188.0,1.89,Red,25.9,2
265,7,1.93,11.28,54,4,Marketing and Sales,Senior,125682.0,100000,1.26,32.0,4.42,Red,27.5,2
266,3,3.73,14.91,50,5,Research and Development,Senior,122740.0,100000,1.23,3.0,4.48,Yellow,38.7,3
267,6,1.76,2.16,22,7,Human Resources,Entry,60144.0,60000,1.0,67.0,3.56,Blue,4.5,0
268,5,2.86,2.68,24,6,Human Resources,Entry,65875.0,60000,1.1,189.0,2.87,Yellow,30.4,5
269,4,3.17,5.66,31,2,Research and Development,Mid,90471.0,80000,1.13,103.0,3.04,Green,33.7,3
270,5,3.18,7.94,32,3,Supply Chain,Mid,102745.0,80000,1.28,305.0,1.78,Red,11.4,4
271,2,4.44,4.97,25,1,Marketing and Sales,Mid,92377.0,80000,1.15,191.0,1.75,Blue,10.4,0
272,3,2.94,2.03,28,7,Human Resources,Entry,71403.0,60000,1.19,43.0,3.34,Red,4.6,5
273,2,3.35,6.57,33,6,Supply Chain,Mid,99852.0,80000,1.25,19.0,3.91,Yellow,33.7,5
274,4,2.67,4.49,33,6,Human Resources,Mid,77392.0,80000,0.97,5.0,3.54,Green,20.4,5
275,1,3.99,4.46,40,1,Marketing and Sales,Mid,95318.0,80000,1.19,22.0,3.22,Purple,34.7,5
276,6,2.27,1.43,25,7,Accounting and Finance,Entry,87761.0,60000,1.46,70.0,3.79,Yellow,12.7,4
277,7,1.77,7.75,28,6,Supply Chain,Mid,95214.0,80000,1.19,169.0,3.59,Green,21.5,2
278,3,3.77,5.42,30,4,Administration,Mid,85575.0,80000,1.07,0.0,4.1,Yellow,28.6,1
279,3,4.3,13.42,51,3,Supply Chain,Senior,108299.0,100000,1.08,119.0,2.7,Purple,19.7,3
280,5,2.52,4.8,37,7,Human Resources,Mid,87620.0,80000,1.1,101.0,3.26,Purple,25.9,5
281,3,3.75,6.83,39,4,Human Resources,Mid,81718.0,80000,1.02,82.0,3.27,Purple,4.0,0
282,4,2.86,7.9,32,3,Research and Development,Mid,84116.0,80000,1.05,10.0,3.2,Red,6.7,5
283,6,2.78,1.91,33,6,Accounting and Finance,Entry,72252.0,60000,1.2,4.0,3.79,Green,40.0,3
284,3,4.18,21.09,65,1,Accounting and Finance,Senior,140297.0,100000,1.4,93.0,2.99,Yellow,23.6,0
285,7,2.16,3.95,25,6,Administration,Mid,90489.0,80000,1.13,72.0,3.86,Green,7.5,0
286,7,1.52,6.56,34,6,Administration,Mid,89306.0,80000,1.12,32.0,3.67,Yellow,31.4,5
287,6,2.04,7.11,51,6,Administration,Mid,93496.0,80000,1.17,30.0,3.88,Red,23.7,4
288,7,1.58,3.19,24,5,Accounting and Finance,Mid,93176.0,80000,1.16,2.0,4.29,Blue,11.4,1
289,3,3.49,13.81,33,6,Accounting and Finance,Senior,122667.0,100000,1.23,352.0,2.41,Purple,32.9,3
290,7,2.19,5.79,44,5,Supply Chain,Mid,100999.0,80000,1.26,127.0,2.73,Blue,15.6,1
291,3,3.87,4.45,40,4,Supply Chain,Mid,96628.0,80000,1.21,256.0,2.5,Green,4.8,3
292,3,3.94,5.4,29,4,Research and Development,Mid,92917.0,80000,1.16,119.0,3.17,Yellow,39.6,0
293,4,3.02,7.61,35,5,Human Resources,Mid,94108.0,80000,1.18,43.0,3.22,Yellow,11.1,5
294,5,2.62,5.03,23,6,Administration,Mid,81838.0,80000,1.02,131.0,2.74,Green,32.5,5
295,2,4.26,8.12,38,1,Research and Development,Senior,109658.0,100000,1.1,15.0,3.22,Red,38.6,1
296,1,5.0,1.98,36,1,Marketing and Sales,Entry,79128.0,60000,1.32,78.0,2.29,Purple,38.4,0
297,4,3.51,3.31,25,1,Marketing and Sales,Mid,100992.0,80000,1.26,19.0,3.22,Green,19.1,3
298,3,3.5,1.54,33,5,Accounting and Finance,Entry,82361.0,60000,1.37,35.0,3.68,Red,12.6,0
299,6,1.7,15.0,51,6,Administration,Senior,127577.0,100000,1.28,144.0,3.4,Green,36.0,0
300,6,2.67,14.89,52,2,Supply Chain,Senior,120720.0,100000,1.21,39.0,3.73,Purple,15.7,3
301,3,3.72,7.06,32,4,Research and Development,Mid,97568.0,80000,1.22,157.0,2.85,Yellow,2.7,3
302,6,2.51,2.86,26,4,Marketing and Sales,Entry,73247.0,60000,1.22,64.0,3.79,Yellow,4.0,5
303,4,4.59,18.61,40,1,Marketing and Sales,Senior,118386.0,100000,1.18,24.0,4.11,Purple,23.5,1
304,7,3.39,3.59,25,2,Supply Chain,Mid,93933.0,80000,1.17,21.0,4.22,Yellow,23.5,0
305,4,2.33,4.45,40,5,Administration,Mid,92271.0,80000,1.15,0.0,3.86,Red,29.7,4
306,5,2.73,5.46,26,3,Marketing and Sales,Mid,92300.0,80000,1.15,59.0,3.25,Red,18.8,5
307,1,3.86,6.41,28,5,Supply Chain,Mid,96192.0,80000,1.2,128.0,3.55,Blue,8.2,4
308,3,3.84,7.12,40,4,Human Resources,Mid,94038.0,80000,1.18,18.0,3.72,Red,27.1,2
309,5,2.93,7.28,39,5,Research and Development,Mid,88422.0,80000,1.11,46.0,3.84,Purple,26.6,2
310,7,2.18,4.62,37,7,Supply Chain,Mid,84944.0,80000,1.06,289.0,2.29,Blue,12.0,0
311,1,3.93,7.22,27,2,Research and Development,Mid,91906.0,80000,1.15,35.0,3.2,Yellow,19.9,2
312,5,3.07,4.51,50,3,Accounting and Finance,Mid,94585.0,80000,1.18,195.0,2.25,Blue,10.5,1
313,4,2.44,6.88,26,4,Human Resources,Mid,93398.0,80000,1.17,123.0,2.83,Green,19.5,0
314,1,4.14,6.57,36,1,Marketing and Sales,Mid,96713.0,80000,1.21,48.0,2.26,Green,22.0,0
315,5,2.98,7.61,35,4,Research and Development,Mid,91230.0,80000,1.14,71.0,3.25,Yellow,27.8,0
316,7,1.75,7.1,26,7,Administration,Mid,86963.0,80000,1.09,5.0,4.41,Red,11.1,5
317,4,2.07,3.92,27,7,Administration,Mid,103046.0,80000,1.29,51.0,3.17,Blue,7.1,1
318,6,2.02,6.43,34,7,Administration,Mid,85984.0,80000,1.07,100.0,3.39,Yellow,21.8,3
319,2,3.88,7.16,31,5,Marketing and Sales,Mid,91168.0,80000,1.14,18.0,3.47,Purple,4.4,2
320,1,4.56,2.46,35,1,Research and Development,Entry,75516.0,60000,1.26,4.0,2.44,Blue,37.7,4
321,7,1.84,4.3,30,5,Supply Chain,Mid,97280.0,80000,1.22,2.0,3.67,Yellow,30.9,5
322,3,3.71,6.99,25,3,Administration,Mid,91815.0,80000,1.15,12.0,3.12,Green,19.2,5
323,6,3.05,12.8,34,2,Supply Chain,Senior,115748.0,100000,1.16,19.0,3.25,Green,24.0,0
324,6,2.9,7.87,41,3,Research and Development,Mid,89850.0,80000,1.12,115.0,3.4,Blue,38.0,1
325,2,3.71,13.25,34,3,Marketing and Sales,Senior,123452.0,100000,1.23,43.0,2.91,Red,36.1,5
326,2,3.98,4.02,33,2,Marketing and Sales,Mid,90705.0,80000,1.13,54.0,3.13,Blue,31.9,1
327,2,3.87,5.74,37,3,Accounting and Finance,Mid,93761.0,80000,1.17,26.0,3.51,Green,29.8,2
328,2,3.46,7.79,29,4,Supply Chain,Mid,105711.0,80000,1.32,25.0,2.94,Blue,17.4,0
329,6,2.3,1.39,33,7,Accounting and Finance,Entry,86737.0,60000,1.45,56.0,3.86,Red,36.2,3
330,5,2.75,11.48,29,6,Administration,Senior,110774.0,100000,1.11,96.0,3.44,Blue,34.6,2
331,5,2.43,1.8,29,7,Accounting and Finance,Entry,81138.0,60000,1.35,14.0,3.58,Yellow,21.0,4
332,2,3.83,8.65,38,6,Human Resources,Senior,104364.0,100000,1.04,40.0,3.4,Purple,24.5,4
333,6,2.41,7.3,35,7,Administration,Mid,86828.0,80000,1.09,72.0,3.8,Red,7.4,2
334,1,5.0,1.38,22,1,Marketing and Sales,Entry,63980.0,60000,1.07,225.0,1.82,Yellow,22.7,0
335,5,2.23,1.42,22,7,Human Resources,Entry,64065.0,60000,1.07,22.0,4.28,Green,28.2,4
336,3,3.94,10.99,54,1,Marketing and Sales,Senior,107850.0,100000,1.08,35.0,2.75,Yellow,13.1,3
337,1,4.67,9.75,49,4,Administration,Senior,111969.0,100000,1.12,59.0,2.94,Red,22.0,4
338,2,3.18,3.08,34,5,Accounting and Finance,Mid,90973.0,80000,1.14,11.0,3.63,Yellow,27.7,3
339,7,2.09,3.08,36,4,Administration,Mid,84025.0,80000,1.05,66.0,4.0,Red,4.6,3
340,2,4.04,6.63,41,3,Supply Chain,Mid,96131.0,80000,1.2,257.0,1.0,Blue,21.8,3
341,1,3.97,4.97,30,4,Supply Chain,Mid,105151.0,80000,1.31,22.0,3.64,Green,22.0,1
342,2,3.15,8.93,39,7,Research and Development,Senior,107009.0,100000,1.07,46.0,3.55,Purple,22.6,1
343,7,3.11,6.51,23,1,Marketing and Sales,Mid,86275.0,80000,1.08,9.0,4.19,Blue,13.7,0
344,2,3.82,11.94,42,3,Supply Chain,Senior,116033.0,100000,1.16,51.0,3.03,Yellow,13.9,2
345,7,1.69,8.52,47,6,Supply Chain,Senior,108038.0,100000,1.08,249.0,2.59,Yellow,7.2,3
346,2,4.42,7.43,31,1,Research and Development,Mid,92606.0,80000,1.16,55.0,2.84,Red,4.8,5
347,3,3.83,4.12,38,3,Research and Development,Mid,93705.0,80000,1.17,17.0,3.72,Blue,17.9,5
348,6,2.28,3.96,31,5,Research and Development,Mid,95572.0,80000,1.19,26.0,3.85,Yellow,21.0,0
349,1,4.38,4.86,22,2,Marketing and Sales,Mid,102247.0,80000,1.28,69.0,1.85,Red,38.2,4
350,2,3.58,13.76,38,6,Supply Chain,Senior,118220.0,100000,1.18,136.0,3.32,Green,27.6,0
351,2,4.52,4.0,37,2,Marketing and Sales,Mid,106831.0,80000,1.34,42.0,2.37,Purple,11.4,0
352,1,4.36,5.77,37,2,Research and Development,Mid,105548.0,80000,1.32,47.0,2.49,Yellow,5.6,1
353,3,3.09,1.45,27,4,Supply Chain,Entry,72954.0,60000,1.22,116.0,2.38,Yellow,23.2,2
354,4,3.49,7.25,34,1,Marketing and Sales,Mid,82126.0,80000,1.03,8.0,2.68,Yellow,5.1,5
355,4,3.37,17.3,53,4,Supply Chain,Senior,127451.0,100000,1.27,211.0,2.28,Red,15.5,1
356,6,2.41,2.99,35,2,Marketing and Sales,Entry,74920.0,60000,1.25,44.0,3.02,Blue,38.7,3
357,4,3.29,25.0,65,4,Research and Development,Senior,123705.0,100000,1.24,28.0,3.76,Red,22.1,1
358,6,2.2,5.53,44,5,Accounting and Finance,Mid,103738.0,80000,1.3,106.0,3.39,Green,29.8,1
359,3,3.91,1.21,29,2,Administration,Entry,65614.0,60000,1.09,21.0,2.99,Red,35.4,2
360,2,3.87,4.04,29,3,Research and Development,Mid,86346.0,80000,1.08,11.0,2.71,Yellow,10.0,2
361,5,3.31,10.39,42,1,Research and Development,Senior,119345.0,100000,1.19,21.0,3.37,Red,40.0,5
362,1,4.93,15.02,52,2,Marketing and Sales,Senior,128562.0,100000,1.29,78.0,3.2,Red,28.5,3
363,4,3.27,7.42,40,2,Marketing and Sales,Mid,93213.0,80000,1.17,7.0,3.78,Yellow,25.1,1
364,7,1.38,11.84,53,7,Human Resources,Senior,109137.0,100000,1.09,42.0,4.33,Green,8.7,3
365,7,1.84,2.62,44,6,Administration,Entry,65001.0,60000,1.08,19.0,4.3,Yellow,12.9,4
366,3,3.01,3.44,28,7,Administration,Mid,80440.0,80000,1.01,55.0,3.86,Purple,8.5,1
367,7,1.73,1.99,43,6,Supply Chain,Entry,75462.0,60000,1.26,10.0,4.6,Blue,6.1,3
368,4,2.27,3.58,39,7,Administration,Mid,88511.0,80000,1.11,104.0,3.97,Red,7.0,0
369,6,2.78,7.6,35,5,Human Resources,Mid,83020.0,80000,1.04,180.0,2.92,Yellow,18.6,2
370,5,3.16,5.62,44,3,Research and Development,Mid,80148.0,80000,1.0,27.0,3.43,Green,21.1,1
371,7,2.4,8.06,50,6,Administration,Senior,110605.0,100000,1.11,31.0,4.66,Red,15.4,2
372,1,4.56,2.99,25,1,Marketing and Sales,Entry,64906.0,60000,1.08,64.0,3.09,Blue,21.5,5
373,5,3.18,3.09,42,3,Supply Chain,Mid,92367.0,80000,1.15,94.0,3.62,Yellow,34.5,2
374,5,2.98,5.6,41,2,Human Resources,Mid,94074.0,80000,1.18,4.0,2.72,Green,12.3,1
375,4,2.93,3.59,48,3,Supply Chain,Mid,92284.0,80000,1.15,79.0,2.98,Purple,10.9,2
376,2,4.04,10.23,37,3,Administration,Senior,103206.0,100000,1.03,118.0,1.61,Yellow,11.9,2
377,7,2.19,3.54,27,6,Supply Chain,Mid,83543.0,80000,1.04,110.0,3.83,Purple,16.7,4
378,3,3.49,3.81,22,2,Marketing and Sales,Mid,97738.0,80000,1.22,40.0,3.08,Blue,36.4,1
379,1,4.11,6.3,38,3,Research and Development,Mid,94348.0,80000,1.18,121.0,2.54,Purple,1.5,3
380,3,2.83,4.04,33,5,Administration,Mid,89298.0,80000,1.12,55.0,3.28,Red,27.1,4
381,2,4.43,2.54,24,2,Marketing and Sales,Entry,79368.0,60000,1.32,14.0,3.52,Yellow,24.2,2
382,7,2.0,2.73,28,4,Human Resources,Entry,63801.0,60000,1.06,24.0,3.72,Purple,7.9,5
383,6,3.16,6.72,25,2,Marketing and Sales,Mid,93228.0,80000,1.17,63.0,3.7,Green,6.8,0
384,7,1.78,2.37,37,5,Accounting and Finance,Entry,77871.0,60000,1.3,56.0,3.94,Yellow,35.4,2
385,3,4.18,10.78,38,1,Marketing and Sales,Senior,97675.0,100000,0.98,113.0,2.8,Blue,34.2,1
386,6,2.2,3.42,53,5,Administration,Mid,76022.0,80000,0.95,88.0,3.63,Red,1.8,2
387,3,2.19,7.02,34,6,Accounting and Finance,Mid,105112.0,80000,1.31,17.0,3.77,Red,28.6,5
388,3,3.81,3.53,24,2,Marketing and Sales,Mid,89243.0,80000,1.12,35.0,2.7,Blue,33.0,1
389,5,3.08,3.02,26,4,Human Resources,Mid,81951.0,80000,1.02,105.0,3.38,Yellow,27.7,0
390,1,3.96,5.72,23,1,Marketing and Sales,Mid,92820.0,80000,1.16,43.0,2.98,Blue,37.1,4
391,3,3.91,8.92,42,1,Research and Development,Senior,114336.0,100000,1.14,18.0,3.14,Blue,18.7,1
392,7,1.97,4.36,28,6,Administration,Mid,91267.0,80000,1.14,194.0,3.36,Red,25.6,4
393,6,1.76,4.82,40,6,Supply Chain,Mid,88920.0,80000,1.11,42.0,4.2,Green,36.3,2
394,7,1.69,7.8,34,6,Administration,Mid,89977.0,80000,1.12,26.0,3.72,Yellow,10.1,2
395,1,2.73,7.94,47,7,Accounting and Finance,Mid,97267.0,80000,1.22,50.0,3.4,Blue,10.6,4
396,7,2.05,4.9,38,5,Accounting and Finance,Mid,108187.0,80000,1.35,25.0,3.83,Red,7.0,1
397,3,4.11,3.92,30,2,Marketing and Sales,Mid,91111.0,80000,1.14,22.0,2.85,Red,37.1,4
398,2,3.56,5.23,44,3,Accounting and Finance,Mid,105784.0,80000,1.32,76.0,2.99,Red,37.8,4
399,4,3.2,4.5,38,4,Accounting and Finance,Mid,111005.0,80000,1.39,111.0,2.71,Yellow,10.9,4
400,2,3.86,5.94,56,5,Administration,Mid,95387.0,80000,1.19,37.0,3.21,Blue,12.7,0
